﻿Kód;Název ulice;Kód Obce;Název Obce;Kód Okresu;Název Okresu
25127;Jugoslávská;582786;Brno;3702;Brno-město
25135;Jundrovská;582786;Brno;3702;Brno-město
25143;Jungmannova;582786;Brno;3702;Brno-město
25151;Souhrady;582786;Brno;3702;Brno-město
25160;Jurkovičova;582786;Brno;3702;Brno-město
25178;K dálnici;582786;Brno;3702;Brno-město
25186;K lázinkám;582786;Brno;3702;Brno-město
25194;Kabátníkova;582786;Brno;3702;Brno-město
25208;Kachlíkova;582786;Brno;3702;Brno-město
25216;Kainarova;582786;Brno;3702;Brno-město
25224;Kaleckého;582786;Brno;3702;Brno-město
25232;Labská;582786;Brno;3702;Brno-město
25241;Kalinová;582786;Brno;3702;Brno-město
25259;Kallabova;582786;Brno;3702;Brno-město
25267;Kaloudova;582786;Brno;3702;Brno-město
25275;Kalvodova;582786;Brno;3702;Brno-město
25283;Kamanova;582786;Brno;3702;Brno-město
25291;Kamenačky;582786;Brno;3702;Brno-město
25305;Kameníčkova;582786;Brno;3702;Brno-město
25313;Kamenná;582786;Brno;3702;Brno-město
25321;Kamenná čtvrť;582786;Brno;3702;Brno-město
25330;Kamenomlýnská;582786;Brno;3702;Brno-město
25348;Jihomoravské náměstí;582786;Brno;3702;Brno-město
25356;Kamínky;582786;Brno;3702;Brno-město
25364;Kampelíkova;582786;Brno;3702;Brno-město
25372;Kaplanova;582786;Brno;3702;Brno-město
25381;Havlišova;582786;Brno;3702;Brno-město
25399;Karásek;582786;Brno;3702;Brno-město
25402;Jižní náměstí;582786;Brno;3702;Brno-město
25411;Karkulínova;582786;Brno;3702;Brno-město
25429;Karlova;582786;Brno;3702;Brno-město
25437;Elplova;582786;Brno;3702;Brno-město
25445;Karolíny Světlé;582786;Brno;3702;Brno-město
25453;Kartouzská;582786;Brno;3702;Brno-město
25461;Kaštanová;582786;Brno;3702;Brno-město
25470;Kárníkova;582786;Brno;3702;Brno-město
25488;Kejbaly;582786;Brno;3702;Brno-město
25496;Juliánovské náměstí;582786;Brno;3702;Brno-město
25500;Dunajská;582786;Brno;3702;Brno-město
